cve_id,crate_name,version_range,target_function_paths
RUSTSEC-2024-0360,xmp_toolkit,<1.9.0,xmp_toolkit::XmpFile::close
RUSTSEC-2024-0374,ouch,<=0.3.1,ouch::archive::zip::convert_zip_date_time
RUSTSEC-2024-0401,zlib-rs,<=0.3.1,zlib_rs::inflate::inflate
RUSTSEC-2024-0402,hashbrown,=0.15.0,hashbrown::HashMap::borsh_serialize
RUSTSEC-2024-0404,anstream,<0.6.8,anstream::adapter::strip_str
RUSTSEC-2024-0408,pprof,<0.14.0,"pprof::report::ReportBuilder::build,pprof::validate"
RUSTSEC-2024-0424,libafl,<0.11.2,libafl::observers::map::HitcountsMapObserver::post_exec
RUSTSEC-2024-0426,spl-token-swap,<=3.0.0,spl_token_swap::instruction::unpack
RUSTSEC-2024-0428,kvm-ioctls,<=0.19.0,kvm_ioctls::ioctls::vm::VmFd::create_device
RUSTSEC-2024-0429,glib,">=0.15.0, <0.20.0","glib::VariantStrIter::last,glib::VariantStrIter::next,glib::VariantStrIter::next_back,glib::VariantStrIter::nth,glib::VariantStrIter::nth_back"
RUSTSEC-2024-0431,xous,<0.9.51,"xous::definitions::MemoryRange::as_slice,xous::definitions::MemoryRange::as_slice_mut"
RUSTSEC-2024-0435,fyrox-core,">=0.28.1, <=0.36",fyrox_core::transmute_vec_as_bytes
RUSTSEC-2024-0442,wasmtime-jit-debug,<=24.0.0,wasmtime_jit_debug::perf_jitdump::JitDumpFile::dump_code_load_record
RUSTSEC-2025-0001,gix-worktree-state,<0.17.0,gix_worktree_state::checkout
RUSTSEC-2025-0002,fast-float2,<0.2.2,fast_float2::common::AsciiStr::first
RUSTSEC-2025-0003,fast-float,*,fast_float::common::AsciiStr::first
RUSTSEC-2025-0005,grcov,<=0.8.20,grcov::covdir::get_coverage
RUSTSEC-2025-0016,pared,<0.4.0,"pared::prc::Prc::from_rc,pared::prc::Prc::project,pared::prc::Prc::try_from_rc,pared::sync::Parc::from_arc,pared::sync::Parc::project,pared::sync::Parc::try_from_arc"
RUSTSEC-2025-0018,xmas-elf,<0.10,"xmas_elf::hash::HashTable::get_bucket,xmas_elf::hash::HashTable::get_chain"
RUSTSEC-2025-0021,gix-features,<0.41.0,"gix_features::hash::Hasher::digest,gix_features::hash::Hasher::update,gix_features::hash::Write::flush,gix_features::hash::Write::new,gix_features::hash::Write::write,gix_features::hash::bytes,gix_features::hash::bytes_of_file,gix_features::hash::bytes_with_hasher,gix_features::hash::hasher"
RUSTSEC-2025-0027,mp3-metadata,<0.4.0,mp3_metadata::read_from_slice
RUSTSEC-2025-0032,redox_uefi_std,">=0.1.8, <0.1.14",redox_uefi_std::ffi::nstr
RUSTSEC-2025-0033,scanner,<=0.1.0,"scanner::Match::get,scanner::Match::ptr"
RUSTSEC-2025-0039,anon-vec,<=0.1.1,"anon_vec::AnonVec::get_mut,anon_vec::AnonVec::get_ref,anon_vec::AnonVec::remove_get"
RUSTSEC-2025-0042,static-alloc,>=0.2.2,static_alloc::unsync::MemBump::new
RUSTSEC-2025-0043,matrix-sdk-sqlite,>=0.11.0,matrix_sdk_sqlite::SqliteEventCacheStore::find_event_relations
RUSTSEC-2025-0044,slice-ring-buffer,<=0.3.4,"slice_ring_buffer::IntoIter::clone,slice_ring_buffer::SliceRingBuffer::extend_from_slice,slice_ring_buffer::SliceRingBuffer::insert,slice_ring_buffer::SliceRingBuffer::shrink_to_fit"
RUSTSEC-2025-0045,static_cell,=2.1.0,static_cell::ConstStaticCell::new
RUSTSEC-2025-0047,slab,=0.4.10,slab::Slab::get_disjoint_mut
RUSTSEC-2025-0050,id-map,">=0.1.6, <=0.2.1",id_map::IdMap::from_iter
